dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,Mmm,quarter,fiscal_year,district
18_1,2020-12-01,1463,43642023,1727,52091325,Dec,Q3,2020,Nizamabad
15_2,2020-12-01,10145,1166982096,11757,1307431183,Dec,Q3,2020,Medchal_Malkajgiri
15_3,2020-12-01,578,8169835,624,8571986,Dec,Q3,2020,Vikarabad
14_2,2020-12-01,500,7741152,581,8329820,Dec,Q3,2020,Jogulamba Gadwal
21_5,2020-12-01,229,5350370,290,7193178,Dec,Q3,2020,Mahabubabad
14_5,2020-12-01,202,1718829,233,2066770,Dec,Q3,2020,Narayanpet
14_3,2020-12-01,826,11688937,863,11959717,Dec,Q3,2020,Nagarkurnool
21_2,2020-12-01,292,6098924,280,6923601,Dec,Q3,2020,Warangal
15_1,2020-12-01,11189,1792042623,13168,2074270805,Dec,Q3,2020,Rangareddy
21_1,2021-01-01,5773,237398313,5969,220593379,Jan,Q4,2020,Hanumakonda
23_3,2021-01-01,7142,114656785,7388,126420264,Jan,Q4,2020,Yadadri Bhuvanagiri
20_1,2021-01-01,4034,110112162,4156,110928964,Jan,Q4,2020,Karimnagar
18_1,2021-01-01,7154,146747246,7515,144547418,Jan,Q4,2020,Nizamabad
19_2,2021-01-01,1427,21685795,1504,22071080,Jan,Q4,2020,Nirmal
14_2,2021-01-01,3346,41289122,3561,42898294,Jan,Q4,2020,Jogulamba Gadwal
14_4,2021-01-01,2318,27666804,2461,27289704,Jan,Q4,2020,Wanaparthy
17_2,2021-01-01,8148,590462146,8318,575419839,Jan,Q4,2020,Sangareddy
20_2,2021-01-01,1828,33896496,1881,33398373,Jan,Q4,2020,Jagtial
17_1,2021-01-01,1393,46369648,1452,45564560,Jan,Q4,2020,Medak
22_1,2021-01-01,5518,162226288,5902,166512471,Jan,Q4,2020,Khammam
15_3,2021-01-01,1747,28628045,1792,29000326,Jan,Q4,2020,Vikarabad
23_2,2021-01-01,4993,85323706,5017,82778338,Jan,Q4,2020,Suryapet
15_2,2021-01-01,20781,1925802906,20610,1812802185,Jan,Q4,2020,Medchal_Malkajgiri
19_1,2021-01-01,1952,38551614,1967,38359371,Jan,Q4,2020,Adilabad
18_2,2021-01-01,2571,36514888,2718,35840670,Jan,Q4,2020,Kamareddy
22_2,2021-01-01,803,19858466,1024,23814628,Jan,Q4,2020,Bhadradri Kothagudem
20_4,2021-01-01,1540,35298150,1526,34635106,Jan,Q4,2020,Peddapalli
